year,age_at_end,description,principal_in_2025_dollars,down_payment_in_2025_dollars,interest_rate,loan_term_years,monthly_payment_in_2025_dollars
2019,23,n/a,0.00,0.00,0.000,0,0.00
2020,24,n/a,0.00,0.00,0.000,0,0.00
2021,25,n/a,0.00,0.00,0.000,0,0.00
2022,26,n/a,0.00,0.00,0.000,0,0.00
2023,27,n/a,0.00,0.00,0.000,0,0.00
2024,28,n/a,0.00,0.00,0.000,0,0.00
2025,29,n/a,0.00,0.00,0.000,0,0.00
2026,30,n/a,0.00,0.00,0.000,0,0.00
2027,31,n/a,0.00,0.00,0.000,0,0.00
2028,32,n/a,0.00,0.00,0.000,0,0.00
2029,33,n/a,0.00,0.00,0.000,0,0.00
2030,34,n/a,0.00,0.00,0.000,0,0.00
2031,35,n/a,0.00,0.00,0.000,0,0.00
2032,36,house,720000.00,144000.00,0.055,30,3270.46
2033,37,n/a,0.00,0.00,0.000,0,0.00
2034,38,n/a,0.00,0.00,0.000,0,0.00
2035,39,n/a,0.00,0.00,0.000,0,0.00
2036,40,piano,50000.00,5000.00,0.090,10,570.04
2037,41,n/a,0.00,0.00,0.000,0,0.00
2038,42,n/a,0.00,0.00,0.000,0,0.00
2039,43,n/a,0.00,0.00,0.000,0,0.00
2040,44,n/a,0.00,0.00,0.000,0,0.00
2041,45,n/a,0.00,0.00,0.000,0,0.00