year,age_at_end,base_salary,stock_grant,cash_grant,bonus,total
2019,23,52000.00,3500.00,0.00,24000.00,79500.00
2020,24,108000.00,10500.00,0.00,20000.00,138500.00
2021,25,122000.00,0.00,0.00,0.00,122000.00
2022,26,140000.00,30000.00,0.00,0.00,170000.00
2023,27,161000.00,30000.00,0.00,0.00,191000.00
2024,28,176000.00,30000.00,0.00,0.00,206000.00
2025,29,205400.00,30000.00,26979.17,0.00,262379.17
2026,30,216000.00,0.00,46250.00,0.00,262250.00
2027,31,225000.00,0.00,46250.00,0.00,271250.00
2028,32,234000.00,0.00,46250.00,0.00,280250.00
2029,33,243000.00,0.00,19270.83,0.00,262270.83