year,max_employee,max_combined,max_catchup_contribution,match_super_catchup_contribution
1979,45475.00,45475.00,0.00,0.00
1980,45475.00,45475.00,0.00,0.00
1981,45475.00,45475.00,0.00,0.00
1982,30000.00,30000.00,0.00,0.00
1983,30000.00,30000.00,0.00,0.00
1984,30000.00,30000.00,0.00,0.00
1985,30000.00,30000.00,0.00,0.00
1986,7000.00,30000.00,0.00,0.00
1987,7000.00,30000.00,0.00,0.00
1988,7313.00,30000.00,0.00,0.00
1989,7627.00,30000.00,0.00,0.00
1990,7979.00,30000.00,0.00,0.00
1991,8475.00,30000.00,0.00,0.00
1992,8728.00,30000.00,0.00,0.00
1993,8994.00,30000.00,0.00,0.00
1994,9240.00,30000.00,0.00,0.00
1995,9240.00,30000.00,0.00,0.00
1996,9500.00,30000.00,0.00,0.00
1997,9500.00,30000.00,0.00,0.00
1998,10000.00,30000.00,0.00,0.00
1999,10000.00,30000.00,0.00,0.00
2000,10500.00,30000.00,0.00,0.00
2001,10500.00,35000.00,0.00,0.00
2002,11000.00,40000.00,1000.00,0.00
2003,12000.00,40000.00,2000.00,0.00
2004,13000.00,41000.00,3000.00,0.00
2005,14000.00,42000.00,4000.00,0.00
2006,15000.00,44000.00,5000.00,0.00
2007,15500.00,45000.00,5000.00,0.00
2008,15500.00,46000.00,5000.00,0.00
2009,16500.00,49000.00,5500.00,0.00
2010,16500.00,49000.00,5500.00,0.00
2011,16500.00,49000.00,5500.00,0.00
2012,17000.00,50000.00,5500.00,0.00
2013,17500.00,51000.00,5500.00,0.00
2014,17500.00,52000.00,5500.00,0.00
2015,18000.00,53000.00,6000.00,0.00
2016,18000.00,53000.00,6000.00,0.00
2017,18000.00,54000.00,6000.00,0.00
2018,18500.00,55000.00,6000.00,0.00
2019,19000.00,56000.00,6000.00,0.00
2020,19500.00,57000.00,6500.00,0.00
2021,19500.00,58000.00,6500.00,0.00
2022,20500.00,61000.00,6500.00,0.00
2023,22500.00,66000.00,7500.00,0.00
2024,23000.00,69000.00,7500.00,0.00
2025,23500.00,70000.00,7500.00,11250.00