year,max_contribution,max_catchup_contribution
2004,2600.00,500.00
2005,2650.00,600.00
2006,2700.00,700.00
2007,2850.00,800.00
2008,2900.00,900.00
2009,3000.00,1000.00
2010,3050.00,1000.00
2011,3050.00,1000.00
2012,3100.00,1000.00
2013,3250.00,1000.00
2014,3300.00,1000.00
2015,3350.00,1000.00
2016,3350.00,1000.00
2017,3400.00,1000.00
2018,3450.00,1000.00
2019,3500.00,1000.00
2020,3550.00,1000.00
2021,3600.00,1000.00
2022,3650.00,1000.00
2023,3850.00,1000.00
2024,4150.00,1000.00
2025,4300.00,1000.00