age,distribution_period
72,27.40
73,26.50
74,25.50
75,24.60
76,23.70
77,22.90
78,22.00
79,21.10
80,20.20
81,19.40
82,18.50
83,17.70
84,16.80
85,16.00
86,15.20
87,14.40
88,13.70
89,12.90
90,12.20
91,11.50
92,10.80
93,10.10
94,9.50
95,8.90
96,8.40
97,7.80
98,7.30
99,6.80
100,6.40
101,6.00
102,5.60
103,5.20
104,4.90
105,4.60
106,4.30
107,4.10
108,3.90
109,3.70
110,3.50
111,3.40
112,3.30
113,3.10
114,3.00
115,2.90
116,2.80
117,2.70
118,2.50
119,2.30
120,2.00