fiscal_year,payroll_taxes_millions,benefit_taxes_millions,fund_transfers_millions,net_interest_millions,total_income_millions,benefit_payments_millions,admin_expenses_millions,total_cost_millions,net_gain_millions,reserve_assets_millions
1966,909,0,0,6,915,0,64,64,851,851
1967,2689,0,354,46,3089,2508,89,2597,492,1343
1968,3514,0,328,61,3903,3736,79,3815,88,1431
1969,4423,0,825,96,5344,4654,104,4758,586,2017
1970,4785,0,692,137,5614,4805,149,4954,660,2677
1971,4898,0,940,180,6018,5443,149,5592,426,3103
1972,5226,0,617,188,6031,6109,166,6275,-244,2859
1973,7663,0,492,196,8351,6649,192,6841,1510,4369
1974,10602,0,602,405,11609,7806,258,8064,3545,7914
1975,11291,0,669,608,12568,10353,259,10612,1956,9870
1976,12031,0,804,709,13544,12267,311,12578,966,10836
1977,17015,0,1100,776,18891,18220,392,18612,279,11115
1978,16677,0,1086,780,18543,17411,451,17862,681,11796
1979,19927,0,1115,868,21910,19891,452,20343,1567,13363
1980,23244,0,1131,1039,25414,23790,497,24287,1127,14490
1981,30425,0,1131,1307,32863,28907,353,29260,3603,18093
1982,34390,0,1348,1873,37611,34343,521,34864,2747,20840
1983,36387,0,4924,2629,43940,38102,12959,51061,-7121,13719
1984,41364,0,1388,2812,45564,41476,633,42109,3455,17174
1985,46490,0,1261,3182,50933,47841,-1011,46830,4103,21277
1986,53020,0,256,3167,56443,49018,-9946,39072,17371,38648
1987,57820,0,949,3982,62751,49967,836,50803,11948,50596
1988,61901,0,961,5148,68010,52022,707,52729,15281,65877
1989,67527,0,1022,6567,75116,57433,805,58238,16878,82755
1990,70655,0,1000,7908,79563,65912,774,66686,12877,95632
1991,74655,0,313,8969,83937,68705,934,69639,14298,109930
1992,80979,0,1565,10133,92677,80784,-2199,78585,14092,124022
1993,84133,0,1523,12531,98187,93487,904,94391,3796,127818
1994,95280,1639,1906,10745,109570,103282,1263,104545,5025,132843
1995,98241,3913,2053,10820,115027,116368,1235,117603,-2576,130267
1996,110585,4069,-274,10222,124602,128631,1296,129927,-5325,124942
1997,114670,3558,2289,9637,130154,137762,1691,139453,-9299,115643
1998,124317,5067,1836,9327,140547,133990,1781,135771,4776,120419
1999,132306,6552,2600,10139,151597,128766,1865,130631,20966,141385
2000,144351,8787,2319,11729,167186,128459,2637,131096,36090,177475
2001,151900,4900,1200,13000,171000,139400,11675,151075,19925,197400
2002,151600,10900,2300,14900,179700,145600,2500,148100,31600,229000
2003,149800,8300,2400,15200,175700,151300,2500,153800,21900,250900
2004,153400,8600,2800,16000,180800,164100,2900,167000,13800,264700
2005,169000,8800,3000,16200,197000,181300,2900,184200,12800,277500
2006,180400,10300,3500,16100,210300,181800,3100,184900,25400,302900
2007,188000,10600,3800,16900,219300,200200,2600,202800,16500,319400
2008,197200,11700,3900,16900,229700,227000,3200,230200,-500,318900
2009,194100,12400,4900,17500,228900,234700,3300,238000,-9100,309800
2010,183600,13800,3700,16900,218000,245600,3300,248900,-30900,278900
2011,192100,15100,4100,15300,226600,255700,3900,259600,-33000,245900
2012,204800,18600,4200,14200,241800,254500,3700,258200,-16400,229500
2013,212900,14300,4000,12400,243600,262400,4100,266500,-22900,206600
2014,227600,18100,4300,12800,262800,262500,4300,266800,-4000,202600
2015,237700,20200,4100,10400,272400,273200,5500,278700,-6300,196300
2016,250500,23000,4100,9600,287200,285600,5100,290700,-3500,192800
2017,259700,24200,4200,10300,298400,290300,3000,293300,5100,197900
2018,264600,24200,4200,9800,302800,292100,5100,297200,5600,203500
2019,281400,23800,4500,9500,319200,318400,5400,323800,-4600,198900
2020,295900,26900,4700,8600,336100,395800,4800,400600,-64500,134400
2021,299100,25000,4800,4800,333700,326800,5100,331900,1800,136200
2022,343700,32800,5100,5100,386700,339600,5200,344800,41900,178100
2023,362500,35000,5400,7300,410200,390700,5600,396300,13900,192000
2024,385800,37900,5600,7800,437100,393000,5600,398600,38500,230500