fiscal_year,premiums_millions,fund_transfers_millions,net_interest_millions,total_income_millions,benefit_payments_millions,admin_expenses_millions,reimbursements_millions,total_cost_millions,net_gain_millions,reserve_assets_millions
1967,647,623,14,1284,664,108,26,798,486,486
1968,698,634,21,1353,1390,153,-11,1532,-179,307
1969,903,984,23,1910,1645,195,-1,1839,71,378
1970,936,928,11,1875,1979,217,0,2196,-321,57
1971,1253,1245,17,2515,2035,247,0,2282,233,290
1972,1340,1365,29,2734,2255,288,0,2543,191,481
1973,1427,1430,45,2902,2391,246,0,2637,265,746
1974,1704,2029,76,3809,2874,409,0,3283,526,1272
1975,1887,2330,105,4322,3765,405,0,4170,152,1424
1976,1951,2939,104,4994,4671,528,0,5199,-205,1219
1977,2732,5931,141,8804,7134,607,3,7744,1060,2279
1978,2431,6385,229,9045,6851,504,1,7356,1689,3968
1979,2635,6841,363,9839,8257,555,1,8813,1026,4994
1980,2928,6932,415,10275,10142,593,2,10737,-462,4532
1981,3320,8747,372,12439,12343,883,2,13228,-789,3743
1982,3830,13323,474,17627,14806,752,2,15560,2067,5810
1983,4228,14238,681,19147,17487,820,4,18311,836,6646
1984,4907,16811,807,22525,19473,899,0,20372,2153,8799
1985,5525,17898,1154,24577,21808,922,0,22730,1847,10646
1986,5699,18076,1228,25003,25169,1048,0,26217,-1214,9432
1987,6480,20299,1018,27797,29937,900,0,30837,-3040,6392
1988,8756,25418,828,35002,33682,1265,0,34947,55,6447
1989,11548,30712,1022,43282,36867,1450,0,38317,4965,11412
1990,11494,33213,1431,46138,41498,1525,0,43023,3115,14527
1991,11807,34731,1628,48166,45514,1504,0,47018,1148,15675
1992,12748,38684,1716,53148,48627,1661,0,50288,2860,18535
1993,14683,44228,1888,60799,52409,1845,1804,56058,4741,23276
1994,16895,38356,2116,57367,58006,1718,0,59724,-2357,20919
1995,19244,36990,1935,58169,63491,1722,1,65214,-7045,13874
1996,18931,61706,1388,82025,67175,1771,0,68946,13079,26953
1997,19141,59473,2192,80806,71133,1420,0,72553,8253,35206
1998,19427,59923,2605,81955,74837,1435,0,76272,5683,40889
1999,20160,62192,2926,85278,79008,1510,0,80518,4760,45649
2000,20515,65565,3159,89239,87212,1780,0,88992,247,45896
2001,22300,69800,3200,95300,97500,2000,-100,99400,-4100,41796
2002,24400,78300,3000,105700,107000,1800,0,108800,-3100,38696
2003,26800,80900,2500,110200,121700,2400,0,124100,-13900,24796
2004,30300,94500,1700,126500,131500,2800,-100,134200,-7700,17096
2005,35900,115200,1400,152500,149800,2900,0,152700,-200,16896
2006,44200,166200,1500,211900,192100,3500,-100,195500,16400,33296
2007,49600,186200,2100,237900,228600,3400,100,232100,5800,39096
2008,54100,187400,3200,244700,221400,3400,-100,224700,20000,59096
2009,57700,201800,3100,262600,256900,3300,0,260200,2400,61496
2010,61400,218200,3200,282800,268700,3500,0,272200,10600,72096
2011,64500,231700,5300,301500,296800,3800,200,300800,700,72796
2012,66100,218800,6000,290900,287800,4100,0,291900,-1000,71796
2013,71300,235900,6000,313200,311400,3800,0,315200,-2000,69796
2014,75900,253100,6000,335000,329100,4300,100,333500,1500,71296
2015,79400,272300,5900,357600,355800,3600,100,359500,-1900,69396
2016,86100,309300,5300,400700,399500,4400,0,403900,-3200,66196
2017,94800,320700,6900,422400,409300,4900,-100,414100,8300,74496
2018,106200,328400,7000,441600,409400,4700,0,414100,27500,101996
2019,113500,344000,6100,463600,453500,4900,0,458400,5200,107196
2020,122000,369200,6400,497600,509600,5200,0,514800,-17200,89996
2021,129200,460100,5700,595000,505700,5300,200,511200,83800,173796
2022,144300,419700,6800,570800,567800,5700,-100,573400,-2600,171196
2023,149300,454100,8200,611600,615700,5900,0,621600,-10000,161196
2024,160300,493200,8300,661800,633100,6100,0,639200,22600,183796