year,home_price_index,building_cost_index,population_millions
1890,3.55729645,7.61165190,63.056
1891,3.20911082,7.17973250,64.361
1892,3.26714176,7.42403592,65.666
1893,3.40641601,6.86863895,66.970
1894,3.96931610,7.63754549,68.275
1895,3.60372120,7.85704066,69.580
1896,3.12206442,7.78918551,70.885
1897,3.22071701,7.85836909,72.189
1898,3.42962838,7.96671680,73.494
1899,3.27874795,8.42335547,74.799
1900,3.74879854,7.59854881,76.094
1901,3.14527679,7.69028535,77.584
1902,3.70817688,7.76698955,79.163
1903,3.76620782,7.34022931,80.632
1904,3.94030063,7.58843296,82.166
1905,3.45284076,7.76702275,83.822
1906,4.09698416,8.53499803,85.450
1907,4.52061000,8.53537427,87.008
1908,4.07957488,8.44979886,88.710
1909,3.98672538,7.67415644,90.490
1910,4.30589554,7.31734303,92.407
1911,4.20724294,7.60027554,93.863
1912,4.36972957,7.51424558,95.335
1913,4.36972957,7.69624987,97.225
1914,4.53221619,6.71266914,99.111
1915,4.16081819,6.94491300,100.546
1916,4.55542857,9.57666951,101.961
1917,4.64827806,12.20842602,103.268
1918,4.94423584,11.62359124,103.208
1919,5.43749881,11.62359124,104.514
1920,5.95977724,15.13259991,106.541
1921,5.82630609,12.13532167,108.538
1922,5.90754940,11.33117385,110.049
1923,5.99459581,13.59740862,111.947
1924,6.00620199,13.59740862,114.109
1925,6.31956905,13.37809558,115.829
1926,6.06423293,13.52430427,117.397
1927,5.83791228,13.59740862,119.035
1928,5.92495868,13.74361731,120.509
1929,5.80309371,13.96293036,121.878
1930,5.55356068,13.52430427,123.188
1931,5.10091937,12.28153037,124.149
1932,4.56703475,9.57666951,124.949
1933,4.39294194,10.81944342,125.690
1934,4.52061000,12.20842602,126.485
1935,4.96208526,12.13532167,127.362
1936,5.12179501,12.57394776,128.181
1937,5.25308665,14.32845209,128.961
1938,5.20719141,14.40155644,129.969
1939,5.13941423,14.40155644,131.028
1940,5.30935450,14.84018253,132.122
1941,4.86418489,15.42501730,133.402
1942,5.02631018,16.22916513,134.860
1943,5.60163471,16.74089556,136.739
1944,6.53062255,17.17952164,138.397
1945,7.29975855,17.47193903,139.928
1946,9.05912341,19.15333902,141.389
1947,10.98544464,22.88166074,144.126
1948,11.21158171,24.92858247,146.631
1949,11.22159909,25.73273029,149.188
1950,11.63010934,27.41413028,151.684
1951,12.33345743,29.31484331,154.287
1952,12.87695369,30.41140852,156.954